,motion citoyenne,motion (28/06/2016),motion des gauches (12/05/2016),motion de droite (12/05/2016),motion de droite - vote (12/05/2016),tribune jdd
Damien Abad,,,,x,x,
Laurence Abeille,,x,x,,,x
Ibrahim Aboubacar,,,,,,
Élie Aboud,,,,x,x,
Bernard Accoyer,,,,x,x,
Patricia Adam,,,,,,
Sylviane Alaux,,x,,,,
Éric Alauzet,,,,,,
Yves Albarello,,,,x,x,
Brigitte Allain,,x,x,,,x
Jean-Pierre Allossery,,,,,,
Nicole Ameline,,,,,x,
Pouria Amirshahi,x,x,x,,x,x
François André,,,,,,
Sylvie Andrieux,,,,,,
Benoist Apparu,,,,x,x,
Nathalie Appéré,,,,,,
Kader Arif,,,,,,
Laurence Arribagé,,,,x,x,
François Asensi,x,x,x,,x,x
Christian Assaf,,,,,,
Isabelle Attard,x,x,x,,x,x
Julien Aubert,,,,x,x,
Olivier Audibert-Troin,,,,x,x,
Danielle Auroi,x,x,x,,,x
Pierre Aylagas,,,,,,
Bruno Nestor Azerot,,,,,,
Alexis Bachelay,,,x,,,
Guillaume Bachelay,,,,,,
Jean-Paul Bacquet,,,,,,
Dominique Baert,,,,,,
Patrick Balkany,,,,,x,
Guy Bailliart,,,,,,
Gérard Bapt,,,,,,
Frédéric Barbier,,,,,,
Jean-Pierre Barbier,,,,x,x,
Serge Bardy,,,,,,
Claude Bartolone,,,,,,
Christian Bataille,,,,,,
Delphine Batho,,,,,,
Marie-Noëlle Battistel,,,,,,
Laurent Baumel,,x,x,,,x
Philippe Baumel,,x,,,,x
Denis Baupin,,,,,,
Nicolas Bays,,,,,,
Catherine Beaubatie,,,,,,
Marie-Françoise Bechtel,,,,,,
Jean-Marie Beffara,,,,,,
Huguette Bello,,x,x,,,x
Luc Belot,,,,,,
Jacques-Alain Bénisti,,,,,x,
Thierry Benoit,,,,x,x,
Karine Berger,,,,,,
Sylvain Berrios,,,,x,x,
Chantal Berthelot,,,,,,
Véronique Besse,,,,,x,
Gisèle Biémouret,,,,,,
Philippe Bies,,,,,,
Erwann Binet,,,,,,
Jean-Pierre Blazy,,x,x,,,x
Yves Blein,,,,,,
Jean-Luc Bleunven,,,,,,
Patrick Bloche,,,,,,
Alain Bocquet,x,x,x,,x,x
Daniel Boisserie,,,,,,
Jacques Bompard,,,,,,
Michèle Bonneton,,x,x,,,x
Marcel Bonnot,,,,,x,
Christophe Borgel,,,,,,
Jean-Claude Bouchet,,,,x,x,
Florent Boudié,,,,,,
Marie-Odile Bouillé,,,,,,
Christophe Bouillon,,,,,,
Gilles Bourdouleix,,,,,x,
Brigitte Bourguignon,,,,,,
Malek Boutih,,,,,,
Kheira Bouziane,,,,,,x
Valérie Boyer,,,,x,x,
Émeric Bréhier,,,,,,
Marine Brenier,,,,,,
Xavier Breton,,,,x,x,
Philippe Briand,,,,x,x,
Jean-Louis Bricout,,,,,,
Jean-Jacques Bridey,,,,,,
Bernard Brochand,,,,,x,
Isabelle Bruneau,,,x,,,x
Marie-George Buffet,x,x,x,,x,x
Sabine Buis,,,,,,
Jean-Claude Buisine,,,,,,
Sylviane Bulteau,,,,,,
Vincent Burroni,,,,,,
Dominique Bussereau,,,,,x,
Alain Calmette,,,,,,
Jean-Christophe Cambadélis,,,,,,
Jean-Jacques Candelier,x,x,x,,x,x
Colette Capdevielle,,,,,,
Yann Capet,,,,,,
Christophe Caresche,,,,,,
Marie-Arlette Carlotti,,,,,,
Jean-Noël Carpentier,,,,,,
Olivier Carré,,,,,x,
Fanélie Carrey-Conte,x,x,x,,,x
Gilles Carrez,,,,x,x,
Martine Carrillon-Couvreur,,,,,,
Patrice Carvalho,x,x,x,,x,x
Christophe Castaner,,,,,,
Laurent Cathala,,,,,,
Jean-Yves Caullet,,,,,,
Christophe Cavard,,,,,,
Yves Censi,,,,x,x,
Nathalie Chabanne,,x,,,,x
Ary Chalus,,,,,,
Guy Chambefort,,,,,,
Jean-Paul Chanteguet,,,,,,
Marie-Anne Chapdelaine,,,,,,
Gérard Charasse,,,,,,
Gaby Charroux,x,x,x,,x,x
Jérôme Chartier,,,,x,x,
André Chassaigne,x,x,x,,x,x
Luc Chatel,,,,x,x,
Guy-Michel Chauveau,,,,,,
Dominique Chauvel,,x,x,,,x
Pascal Cherki,,x,x,,,x
Gérard Cherpion,,,,x,x,
Guillaume Chevrollier,,,,x,x,
Alain Chrétien,,,,x,x,
Jean-Louis Christ,,,,,x,
Dino Cinieri,,,,x,x,
Jean-David Ciot,,,,,,
Éric Ciotti,,,,x,x,
Alain Claeys,,,,,,
Jean-Michel Clément,,,,,,
Stéphane Claireaux,,,,,,
Marie-Françoise Clergeau,,,,,,
Philippe Cochet,,,,x,x,
Romain Colas,,,,,,
Gilbert Collard,,,,,x,
David Comet,,,,,,
Jean-François Copé,,,,x,x,
Philip Cordery,,,,,,
François Cornut-Gentille,,,,x,x,
Sergio Coronado,x,x,x,,x,x
Valérie Corre,,,,,,
Jean-Louis Costes,,,,x,x,
Jean-Jacques Cottel,,,,,,
Charles de Courson,,,,x,x,
Édouard Courtial,,,,x,x,
Catherine Coutelle,,,,,,
Jean-Michel Couve,,,,x,x,
Jacques Cresta,,,,,,
Pascale Crozon,,,,,,
Frédéric Cuvillier,,,,,,
Seybah Dagoma,,,,,,
Marie-Christine Dalloz,,,,x,x,
Karine Daniel,,,,,,
Yves Daniel,,,,,,
Carlos Da Silva,,,,,,
Olivier Dassault,,,,x,x,
Marc-Philippe Daubresse,,,,x,x,
Bernard Debré,,,,x,x,
Jean-Pierre Decool,,,,,x,
Bernard Deflesselles,,,,x,x,
Laurent Degallaix,,,,x,x,
Lucien Degauchy,,,,x,x,
Pascal Deguilhem,,,,,,
Rémi Delatte,,,,x,x,
Florence Delaunay,,,,,,
Michèle Delaunay,,,,,,
Guy Delcourt,,,,,,
Carole Delga,,,,,,
Jacques Dellerie,,,,,,
Pascal Demarthe,,,,,,
Stéphane Demilly,,,,x,x,
Sébastien Denaja,,,,,,
Françoise Descamps-Crosnier,,,,,,
Sophie Dessus,,,,,,
