577,parti politique,groupe parlementaire,twitter,
Damien Abad,Les Républicains,LR,damienabad,
Laurence Abeille,Europe Ecologie Les Verts,NI,LaurenceAbeille ,
Ibrahim Aboubacar,Parti socialiste,SRC,i_aboubacar,
Élie Aboud,Les Républicains,LR,Elie_ABOUD ,
Bernard Accoyer,Les Républicains,LR,bernardaccoyer,
Patricia Adam,Parti socialiste,SRC,p_adaman,
Sylviane Alaux,Parti socialiste,SRC,,?
Éric Alauzet,Europe Ecologie Les Verts,SRC,ericalauzet ,
Yves Albarello,Les Républicains,LR,yvesalbarello,
Brigitte Allain,Europe Ecologie Les Verts,NI,BrigitteAllain ,
Jean-Pierre Allossery,Parti socialiste,SRC,,
Nicole Ameline,Les Républicains,LR,nicoleameline,
Pouria Amirshahi,Parti socialiste,NI,pouriaamirshahi,
François André,Parti socialiste,SRC,FrancoisAndre35 ,
Sylvie Andrieux,Non rattachée,NI,,?
Benoist Apparu,Les Républicains,LR,benoistapparu,
Nathalie Appéré,Parti socialiste,SRC,nathalieappere ,
Kader Arif,Parti socialiste,SRC,kaderarif,
Laurence Arribagé,Les Républicains,LR,larribage,
François Asensi,Forces de Gauche,GDR,,?
Christian Assaf,Parti socialiste,SRC,assaf2012 ,
Isabelle Attard,Europe Ecologie Les Verts,NI,team_attard,
Julien Aubert,Les Républicains,LR,julienaubert84,
Olivier Audibert-Troin,,LR,olivieraudibert ,
Danielle Auroi,Europe Ecologie Les Verts,NI,danielleauroi,
Pierre Aylagas,Parti socialiste,SRC,,?
Bruno Nestor Azerot,Mouvement initiative populaire,GDR,BNAzerot ,
Alexis Bachelay,Parti socialiste,SRC,ABachelay ,
Guillaume Bachelay,Parti socialiste,SRC,gbachelay,
Jean-Paul Bacquet,Parti socialiste,SRC,jpbacquet,
Dominique Baert,Parti socialiste,SRC,,?
Patrick Balkany,Les Républicains,LR,,?
Guy Bailliart,Parti socialiste,SRC,,?
Gérard Bapt,Parti socialiste,SRC,,?
Frédéric Barbier,Parti socialiste,SRC,Fred_Barbier ,
Jean-Pierre Barbier,Les Républicains,LR,jpbarbierisere,
Serge Bardy,Parti socialiste,SRC,bardyserge,
Claude Bartolone,Parti socialiste,SRC,claudebartolone,
Christian Bataille,Parti socialiste,SRC,chrbataille,
Delphine Batho,Parti socialiste,SRC,delphinebatho,
Marie-Noëlle Battistel,Parti socialiste,SRC,,?
Laurent Baumel,Parti socialiste,SRC,laurentbaumel ,
Philippe Baumel,Parti socialiste,SRC,philippebaumel,
Denis Baupin,Europe Ecologie Les Verts,NI,denis_baupin,
Nicolas Bays,Parti socialiste,SRC,nicolasbays ,
Catherine Beaubatie,Parti socialiste,SRC,,?
Marie-Françoise Bechtel,Parti radical de gauche,a. SRC,MFBechtel ,
Jean-Marie Beffara,Parti socialiste,SRC,jmbeffara ,
Huguette Bello,"Pour la Réunion, de toutes nos forces",GDR,huguettebello,
Luc Belot,Parti socialiste,SRC,lucbelot,
Jacques-Alain Bénisti,,LR,,?
Thierry Benoit,"Union des Radicaux, centristes, indépendants et démocrates",UDI,thierrybenoit35,
Karine Berger,Parti socialiste,SRC,Karine_Berger ,
Sylvain Berrios,Les Républicains,LR,sy_berrios,
Chantal Berthelot,Parti socialiste Guyanais,a. SRC,ChantalGuyane,?
Véronique Besse,Debout la France (Debout la République),NI,veroniquebesse,
Gisèle Biémouret,Parti socialiste,SRC,GiseleBiemouret ,
Philippe Bies,Parti socialiste,SRC,philippebies,
Erwann Binet,Parti socialiste,SRC,Erwann Binet,
Jean-Pierre Blazy,Parti socialiste,SRC,jpblazy ,
Yves Blein,Parti socialiste,SRC,yves_blein,
Jean-Luc Bleunven,Parti socialiste,a. SRC,JeanLucBleunven ,
Patrick Bloche,Parti socialiste,SRC,pbloche ,
Alain Bocquet,Parti communiste français,GDR,,?
Daniel Boisserie,Parti socialiste,SRC,,?
Jacques Bompard,Debout la France (Debout la République),NI,JacquesBompard ,
Michèle Bonneton,Europe Ecologie Les Verts,NI,michelebonneton,
Marcel Bonnot,Les Républicains,LR,,?
Christophe Borgel,Parti socialiste,SRC,chborgel ,
Jean-Claude Bouchet,Les Républicains,LR,jcbouchet,
Florent Boudié,Parti socialiste,SRC,florent_boudie,
Marie-Odile Bouillé,Parti socialiste,SRC,,?
Christophe Bouillon,Parti socialiste,SRC,TeamBouillon ,
Gilles Bourdouleix,Association PSLE - Nouveau Centre,NI,GBOURDOULEIX ,
Brigitte Bourguignon,Parti socialiste,SRC,BourguignonBrig ,
Malek Boutih,Parti socialiste,SRC,malekboutih,
Kheira Bouziane,Parti socialiste,SRC,Kheira Bouziane,
Valérie Boyer,Les Républicains,LR,valerieboyer13,
Émeric Bréhier,,SRC,,?
Marine Brenier,,LR,marinebrenier,
Xavier Breton,Les Républicains,LR,bretonxavier,
Philippe Briand,Les Républicains,LR,,?
Jean-Louis Bricout,Parti socialiste,SRC,jlbricout,
Jean-Jacques Bridey,Parti socialiste,SRC,jjbridey94260,
Bernard Brochand,Les Républicains,LR,,?
Isabelle Bruneau,Parti socialiste,SRC,IsabelleBrunea1 ,
Marie-George Buffet,Parti communiste français,GDR,,?
Sabine Buis,Parti socialiste,SRC,buissabine,
Jean-Claude Buisine,Parti socialiste,SRC,jcl_buisine,
Sylviane Bulteau,Parti socialiste,SRC,sylvianebulteau,
Vincent Burroni,Parti socialiste,SRC,,?
Dominique Bussereau,Les Républicains,LR,dbussereau,
Alain Calmette,Parti socialiste,SRC,alaincalmette,
Jean-Christophe Cambadélis,Parti socialiste,SRC,jccambadelis ,
Jean-Jacques Candelier,Parti communiste français,GDR,jjcandelier ,
Colette Capdevielle,Parti socialiste,SRC,c_capdevielle ,
Yann Capet,Parti socialiste,SRC,Yann_Capet,
Christophe Caresche,Parti socialiste,SRC,CCaresche ,
Marie-Arlette Carlotti,Parti socialiste,SRC,MACarlotti,
Jean-Noël Carpentier,Parti radical de gauche,RRDP,carpentierjn,
Olivier Carré,Les Républicains,LR,olivier_carre ,
Fanélie Carrey-Conte,Parti socialiste,SRC,FCarreyConte ,
Gilles Carrez,Les Républicains,LR,GillesCarrez ,
Martine Carrillon-Couvreur,Parti socialiste,SRC,,?
Patrice Carvalho,Parti communiste français,GDR,,?
Christophe Castaner,Parti socialiste,SRC,CCastaner ,
Laurent Cathala,Parti socialiste,SRC,laurent_cathala,
Jean-Yves Caullet,Parti socialiste,SRC,JYCaullet ,
Christophe Cavard,Parti socialiste,SRC,ccavard ,
Yves Censi,Les Républicains,LR,yvescensi,à vérifier
Nathalie Chabanne,Parti socialiste,SRC,Chabanne_Nat ,
Ary Chalus,Guadeloupe unie socialisme et réalité,RRDP,achalus971,
Guy Chambefort,Parti socialiste,SRC,guychambefort ,
Jean-Paul Chanteguet,Parti socialiste,SRC,,?
Marie-Anne Chapdelaine,Parti socialiste,SRC,ma_chapdelaine ,
Gérard Charasse,Parti radical de gauche,RRDP,,?
Gaby Charroux,Parti communiste français,GDR,gaby_charroux,
Jérôme Chartier,Les Républicains,LR,jechartier ,
André Chassaigne,Parti communiste français,GDR,AndreChassaigne ,
Luc Chatel,Les Républicains,LR,LucChatel ,
