Damien Abad
Laurence Abeille
Ibrahim Aboubacar
Élie Aboud
Bernard Accoyer
Patricia Adam
Sylviane Alaux
Éric Alauzet
Yves Albarello
Brigitte Allain
Jean-Pierre Allossery
Nicole Ameline
Pouria Amirshahi
François André
Sylvie Andrieux
Benoist Apparu
Nathalie Appéré
Kader Arif
Laurence Arribagé
François Asensi
Christian Assaf
Isabelle Attard
Julien Aubert
Olivier Audibert-Troin
Danielle Auroi
Pierre Aylagas
Bruno Nestor Azerot
Alexis Bachelay
Guillaume Bachelay
Jean-Paul Bacquet
Dominique Baert
Patrick Balkany
Guy Bailliart
Gérard Bapt
Frédéric Barbier
Jean-Pierre Barbier
Serge Bardy
Claude Bartolone
Christian Bataille
Delphine Batho
Marie-Noëlle Battistel
Laurent Baumel
Philippe Baumel
Denis Baupin
Nicolas Bays
Catherine Beaubatie
Marie-Françoise Bechtel
Jean-Marie Beffara
Huguette Bello
Luc Belot
Jacques-Alain Bénisti
Thierry Benoit
Karine Berger
Sylvain Berrios
Chantal Berthelot
Véronique Besse
Gisèle Biémouret
Philippe Bies
Erwann Binet
Jean-Pierre Blazy
Yves Blein
Jean-Luc Bleunven
Patrick Bloche
Alain Bocquet
Daniel Boisserie
Jacques Bompard
Michèle Bonneton
Marcel Bonnot
Christophe Borgel
Jean-Claude Bouchet
Florent Boudié
Marie-Odile Bouillé
Christophe Bouillon
Gilles Bourdouleix
Brigitte Bourguignon
Malek Boutih
Kheira Bouziane
Valérie Boyer
Émeric Bréhier
Marine Brenier
Xavier Breton
Philippe Briand
Jean-Louis Bricout
Jean-Jacques Bridey
Bernard Brochand
Isabelle Bruneau
Marie-George Buffet
Sabine Buis
Jean-Claude Buisine
Sylviane Bulteau
Vincent Burroni
Dominique Bussereau
Alain Calmette
Jean-Christophe Cambadélis
Jean-Jacques Candelier
Colette Capdevielle
Yann Capet
Christophe Caresche
Marie-Arlette Carlotti
Jean-Noël Carpentier
Olivier Carré
Fanélie Carrey-Conte
Gilles Carrez
Martine Carrillon-Couvreur
Patrice Carvalho
Christophe Castaner
Laurent Cathala
Jean-Yves Caullet
