Laurence Abeille, EELV
Alexis Bachelay, PS
Pouria Amirshahi, NI, ex-PS démissionnaire
Brigitte Allain, EELV
François Asensi, FdG
Isabelle Attard, EELV
Danielle Auroi, EELV
Laurent Baumel, PS
Huguette Bello, GDR
Jean-Pierre Blazy, PS
Alain Bocquet, PCF
Michèle Bonneton, EELV
Isabelle Bruneau, PS
Marie-George Buffet, PCF
Jean-Jacques Candelier, PCF
Fanélie Carrey-Conte, PS
Patrice Carvalho, PCF
Gaby Charroux, PCF
André Chassaigne, PCF
Dominique Chauvel, PS
Pascal Cherki, PS
Sergio Coronado, EELV
Marc Dolez, FdG
Cécile Duflot, EELV
Aurélie Filippetti, PS
Jacqueline Fraysse, PCF
Geneviève Gaillard, PS
Yann Galut, PS
Linda Gourjade, PS
Édith Gueugneau, PS
Benoît Hamon, PS
Mathieu Hanotin, PS
Christian Hutin, MRC
Serge Janquin, PS
Romain Joron, PS
Régis Juanico, PS
Laurent Kalinowski, PS
Jérôme Lambert, PS
Jean Lassalle, Modem
Jean-Luc Laurent, MRC
Christophe Léonard, PS
Noël Mamère, EELV
Alfred Marie-Jeanne, MIM
Jean-Philippe Nilor, MIM
Philippe Noguès, NI, ex-PS démissionnaire
Christian Paul, PS
Michel Pouzol, PS
Patrice Prat, PS
Barbara Romagnan, PS
Jean-Louis Roumégas, EELV
Nicolas Sansu, PCF
Éva Sas, EELV
Gérard Sebaoun, PS
Suzanne Tallard, PS
Thomas Thévenoud, NI, ex-PS exclu
Paola Zanetti, PS
